Date_Time,CsPbBr3,CsPbBr3_sig,Cs4PbBr6,Cs4PbBr6_sig,PbBr2,PbBr2_sig,CsBr,CsBr_sig,time
2023-06-03 12:16:43,0.21801,0.00229,0.48844,0.00242,0.29356,0.00255,,,120.0
2023-06-03 12:46:41,0.24876,0.00221,0.46326,0.0021,0.28075,0.00221,0.00723,0.00039,149.96666666666667
2023-06-03 14:16:40,0.29493,0.00236,0.4458,0.00212,0.25927,0.00221,,,239.95
2023-06-03 16:16:40,0.32706,0.00234,0.42776,0.00214,0.23386,0.00215,0.01132,0.00086,359.95
2023-06-03 16:46:40,0.34205,0.0025,0.42033,0.00224,0.23761,0.00228,,,389.95
2023-06-03 17:16:40,0.34873,0.00242,0.40584,0.00205,0.23165,0.00218,0.01379,0.00125,419.95
2023-06-04 03:16:40,0.46271,0.00291,0.35329,0.00231,0.17588,0.00216,0.00812,0.00094,1019.95
2023-06-04 06:46:40,0.50169,0.00305,0.32402,0.00199,0.17429,0.00229,,,1229.95
2023-06-04 07:46:40,0.50615,0.00271,0.32566,0.00193,0.16072,0.00181,0.00747,0.00047,1289.95
2023-06-04 11:46:40,0.52355,0.00271,0.32345,0.00195,0.14386,0.0019,0.00914,0.00064,1529.95
2023-06-04 18:16:40,0.55397,0.00287,0.30435,0.00195,0.13468,0.00187,0.00699,0.00043,1919.95
2023-06-04 19:16:40,0.55717,0.00281,0.30073,0.00198,0.13506,0.00182,0.00705,0.00046,1979.95
2023-06-05 03:16:40,0.60236,0.00323,0.27478,0.00202,0.12287,0.00209,,,2459.95
2023-06-05 06:46:40,0.60841,0.00261,0.258,0.00151,0.12683,0.00157,0.00676,0.00062,2669.95
2023-06-05 07:46:40,0.62852,0.00343,0.25497,0.00204,0.11651,0.0023,,,2729.95
2023-06-05 20:46:39,0.65313,0.00315,0.23722,0.00176,0.10117,0.00195,0.00848,0.00059,3509.9333333333334
2023-06-05 21:46:39,0.67516,0.00302,0.22271,0.0015,0.10213,0.00157,,,3569.9333333333334
2023-06-05 23:16:39,0.66198,0.00353,0.23428,0.00184,0.10373,0.00194,,,3659.9333333333334
2023-06-06 00:46:39,0.66686,0.00307,0.22828,0.00163,0.10486,0.00189,,,3749.9333333333334
2023-06-06 06:46:39,0.67173,0.00284,0.22588,0.00152,0.09472,0.00161,0.00767,0.00044,4109.933333333333
2023-06-06 08:46:39,0.67052,0.00288,0.23813,0.00174,0.08423,0.00159,0.00712,0.00039,4229.933333333333
2023-06-06 16:16:39,0.69774,0.00297,0.21316,0.00164,0.08216,0.00152,0.00694,0.00041,4679.933333333333
